,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,no_year
206,5.75,7.13,12479,2,0,1,0,6
207,5.15,5.7,34797,2,0,0,0,8
208,7.9,8.1,3435,2,0,1,0,6
209,4.85,5.7,21125,1,0,1,0,8
210,3.1,4.6,35775,2,0,1,0,11
211,11.75,14.79,43535,1,0,1,0,8
212,11.25,13.6,22671,2,0,1,0,7
213,2.9,6.79,31604,2,0,1,0,12
214,5.25,5.7,20114,2,0,1,0,6
215,4.5,9.4,36100,2,0,1,0,11
216,2.9,4.43,12500,2,0,1,0,7
217,3.15,4.43,15000,2,0,1,0,7
218,6.45,9.4,45078,2,0,1,0,9
219,4.5,9.4,36000,2,0,1,0,11
220,3.5,4.43,38488,2,0,1,0,6
221,4.5,6.79,32000,2,0,0,0,10
222,6.0,7.6,77632,1,0,1,0,9
223,8.25,9.4,61381,1,0,1,0,8
224,5.11,9.4,36198,2,0,0,0,10
225,2.7,4.6,22517,2,0,1,0,12
226,5.25,5.7,24678,2,0,1,0,8
227,2.55,4.43,57000,2,0,1,0,12
228,4.95,9.4,60000,1,0,1,0,11
229,3.1,6.79,52132,1,0,1,0,11
230,6.15,9.4,45000,1,0,1,0,10
231,9.25,9.4,15001,2,0,1,0,6
232,11.45,14.79,12900,2,0,0,0,8
233,3.9,5.7,53000,1,0,1,0,10
234,5.5,5.7,4492,2,0,1,0,8
235,9.1,9.4,15141,2,0,1,0,6
236,3.1,4.43,11849,2,0,1,0,7
237,11.25,13.6,68000,1,0,1,0,8
238,4.8,9.4,60241,2,0,1,0,10
239,2.0,4.43,23709,2,0,1,0,11
240,5.35,9.4,32322,1,0,1,0,11
241,4.75,7.13,35866,2,0,1,1,8
242,4.4,7.13,34000,2,0,1,0,9
243,6.25,7.6,7000,2,0,1,0,7
244,5.95,9.4,49000,1,0,1,0,10
245,5.2,9.4,71000,1,0,1,0,11
246,3.75,6.79,35000,2,0,1,0,11
247,5.95,9.4,36000,2,0,1,0,8
248,4.0,4.6,30000,2,0,1,0,10
249,5.25,7.6,17000,2,0,1,0,7
250,12.9,13.6,35934,1,0,1,0,7
251,5.0,9.9,56701,2,0,1,0,10
252,5.4,6.82,31427,2,0,0,0,8
253,7.2,9.9,48000,1,0,1,0,9
254,5.25,9.9,54242,2,0,1,0,10
255,3.0,5.35,53675,2,0,1,0,11
256,10.25,13.6,49562,2,0,1,0,7
257,8.5,13.6,40324,2,0,1,0,8
258,8.4,13.6,25000,2,0,1,0,8
259,3.9,7.0,36054,2,0,1,0,9
260,9.15,13.6,29223,2,0,1,0,7
261,5.5,5.97,5600,2,0,1,0,7
262,4.0,5.8,40023,2,0,1,0,8
263,6.6,7.7,16002,2,0,1,0,7
264,4.0,7.0,40026,2,0,1,0,8
265,6.5,8.7,21200,2,0,1,0,6
266,3.65,7.0,35000,2,0,1,0,9
267,8.35,9.4,19434,1,0,1,0,7
268,4.8,5.8,19000,2,0,1,0,6
269,6.7,10.0,18828,2,0,1,0,8
270,4.1,10.0,69341,2,0,1,0,12
271,3.0,10.0,69562,2,0,1,0,14
272,7.5,10.0,27600,2,0,1,0,8
273,2.25,7.5,61203,2,0,1,0,13
274,5.3,6.8,16500,2,0,1,0,9
275,10.9,13.6,30753,2,0,0,0,7
276,8.65,13.6,24800,2,0,1,0,8
277,9.7,13.6,21780,2,0,1,0,8
278,6.0,8.4,4000,2,0,1,0,7
279,6.25,13.6,40126,2,0,1,0,9
280,5.25,5.9,14465,2,0,1,0,8
281,2.1,7.6,50456,2,0,1,0,17
282,8.25,14.0,63000,1,0,1,0,9
283,8.99,11.8,9010,2,0,1,0,7
284,3.5,5.9,9800,2,0,1,0,10
285,7.4,8.5,15059,2,0,0,0,7
286,5.65,7.9,28569,2,0,1,0,7
287,5.75,7.5,44000,2,0,0,0,8
288,8.4,13.6,34000,2,0,1,0,8
289,10.11,13.6,10980,2,0,1,0,7
290,4.5,6.4,19000,2,0,1,0,9
291,5.4,6.1,31427,2,0,1,0,8
292,6.4,8.4,12000,2,0,1,0,7
293,3.25,9.9,38000,2,0,1,0,13
294,3.75,6.8,33019,2,0,1,0,9
295,8.55,13.09,60076,1,0,1,0,8
296,9.5,11.6,33988,1,0,1,0,7
297,4.0,5.9,60000,2,0,1,0,8
298,3.35,11.0,87934,2,0,1,0,14
299,11.5,12.5,9000,1,0,1,0,6
300,5.3,5.9,5464,2,0,1,0,7
